,CPILFESL_SHOCK_EXPSIMPLE,PP_INV_SHOCK_EXPSIMPLE,CPIAUCSL_SHOCK_EXPSIMPLE,CPILFESL_SHOCK_EXPWMA,PP_INV_SHOCK_EXPWMA,CPIAUCSL_SHOCK_EXPWMA
1913-01-01,,,,,,
1914-01-01,,,,,,
1915-01-01,,-1.6799684304612374,,,,
1916-01-01,,2.5650025089473845,,,1.2975178755588683,
1917-01-01,,7.955496597622132,,,7.912081752492136,
1918-01-01,,6.569534927937813,,,9.452360738759243,
1919-01-01,,-0.8422154187329021,,,2.5829212816914886,
1920-01-01,,-1.4133076200300358,,,-1.598864059391481,
1921-01-01,,-16.881759049738985,,,-14.774786351464172,
1922-01-01,,-10.344184990018668,,,-17.061033683218383,
1923-01-01,,10.915375121379423,,,3.924053439473518,
1924-01-01,,3.570435382509174,,,8.433050379447357,
1925-01-01,,-2.604825935470456,,,-0.3854705883041265,
1926-01-01,,3.4740997314645305,,,1.5926701418185472,
1927-01-01,,-5.900523821028747,,,-3.180053318458357,
1928-01-01,,0.7562878742253254,,,-2.3200220153266025,
1929-01-01,,0.5345424564998091,,,0.8235959841958369,
1930-01-01,,0.9799786154794377,,,1.0839200744827693,
1931-01-01,,-7.30564602028736,,,-5.598049042499747,
1932-01-01,,-3.2924092200069195,,,-6.396497360149446,
1933-01-01,,0.23953206840535657,,,-1.4465945529989952,
1934-01-01,,12.931978492904378,,,10.89641477828966,
1935-01-01,,0.4082321233483235,,,6.806182682575792,
1936-01-01,,-1.5121835578674803,,,-1.056036903215405,
1937-01-01,,0.41589516450694086,,,-0.4095124751779562,
1938-01-01,,-0.9078464622898186,,,-0.5485911363213782,
1939-01-01,,-2.881297596836668,,,-2.855004561842133,
1940-01-01,,1.652628804734546,,,-0.06345812780621246,
1941-01-01,,1.42842482618723,,,2.016668424189965,
1942-01-01,,9.401047110575455,,,8.54841833857316,
1943-01-01,,-2.9781153877815374,,,2.218760732136446,
1944-01-01,,-4.666170390779856,,,-5.377533019540648,
1945-01-01,,-0.6622455605657218,,,-2.8849564958613625,
1946-01-01,,-0.07472539085026098,,,-0.3933939393247452,
1947-01-01,,14.488447832214847,,,12.036343831420576,
1948-01-01,,-6.883076418850155,,,1.508326900398961,
1949-01-01,,-8.440604905611615,-8.366894015778392,,-10.47537563076809,
1950-01-01,,-3.433121559273311,-3.4884147898540885,,-7.081237085533566,-7.090459332767603
1951-01-01,,9.70705789480527,9.758014741544718,,6.37265413270107,6.387471556360221
1952-01-01,,-3.53452631282547,-3.524090371619648,,1.9080903533814104,1.9422653944226527
1953-01-01,,-3.4633148374522804,-3.4137008650187095,,-4.653358854289635,-4.606795906658749
1954-01-01,,0.4883585314671701,0.4040637942150038,,-1.3246919758368318,-1.3701306039968517
1955-01-01,,-1.8518363159882534,-1.752863875998667,,-1.299017664256626,-1.2586879995580538
1956-01-01,,0.9667717286555799,0.8569120355228055,,-0.12027505078114348,-0.16233857506366228
1957-01-01,,2.783087016328478,2.8589322456030963,,2.802625044601522,2.810899555763983
1958-01-01,,0.4087473217364357,0.362741893230778,,1.7321662762779357,1.7317510338271966
1959-01-01,-0.7412464374798144,-2.136427676278463,-2.161929225274184,,-1.5759827360305012,-1.6202367411130973
1960-01-01,-0.04027611568933054,-0.07108424622983556,-0.05031089636520214,-0.4041866484810157,-1.1274507099974276,-1.122890359608094
1961-01-01,-1.0080196850562384,0.37256290597100783,0.35428830478152484,-0.8601544620581973,0.2749269651942554,0.2700848058020031
1962-01-01,0.31153984697445125,-0.8795739959785775,-0.9195978564657814,-0.244393303382743,-0.546696876996644,-0.5891873946640553
1963-01-01,-0.3333953819756985,0.551484368301125,0.654765453717765,-0.12205956149252306,0.01978330892831548,0.08583894986524676
1964-01-01,1.240945570262486,0.38693756123417966,0.30646060538837006,0.8674236175642225,0.5981901518457122,0.5827665646825242
1965-01-01,-0.9633070896476248,-0.5368766201406805,-0.5363241619244619,-0.18228312290844428,-0.2539284028334772,-0.29370649890953304
1966-01-01,-0.015056272848079644,0.775081266104638,0.8070867712713703,-0.49420043886387877,0.37746274501685817,0.4044102284305777
1967-01-01,2.3522809508261133,1.378475256083278,1.2493865604407794,1.952705989264388,1.5362700131217175,1.4446988526696682
1968-01-01,0.1588969810730756,0.14489565394479875,0.43309226688332814,1.3085546263072865,0.8099840063289716,0.9856035026231633
1969-01-01,1.2153577755589229,1.0793186306822466,1.0028577977977182,1.0922466368356405,0.9718800192076049,1.0522609649397627
1970-01-01,1.037516144226558,1.4153512727221207,1.3947118806665326,1.4722756746349264,1.7191187092762235,1.6636887994543033
1971-01-01,0.13828308172358916,-0.7898778103487158,-0.8375211495350587,0.633993973549603,0.04944412773713136,-0.0005783509459496017
1972-01-01,-2.8505425021598363,-1.8443732623713238,-1.9363279347774043,-2.306310544271402,-1.931916623817128,-2.0323671870820323
1973-01-01,-0.7740276474922592,0.3669275003807204,0.36987314194352194,-2.0702942906568014,-0.6164137142017276,-0.6599363491024341
1974-01-01,2.531089549483534,5.276634520742053,5.592361880992414,1.722227467490149,4.580659184142071,4.845238138465439
1975-01-01,5.869487919242822,2.169829699597468,1.942888545825383,6.156784707444118,4.44650867670225,4.415254728684027
1976-01-01,-4.241068652846769,-4.520273344895486,-4.633566983088855,-0.5994799177508963,-2.681979604280837,-2.889861546328021
1977-01-01,-0.7523083247549245,-1.431048577071814,-1.4111640869601594,-2.7474579303858224,-3.452677153340921,-3.4927535640112257
